review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
77ed4f94b3638d1f0b0a2dd781c11a8c,5f8772295e1adb4e4832c988d6b631b6,5,,,2018-04-10 00:00:00,2018-04-12 10:28:20
cb2fc3e5711b5ae85e0491ee18af63ed,34e6d418f368f8079ae152bc178bc66a,3,,"Produto bom, porém o que veio para mim não condiz com a foto do anúncio.",2018-01-31 00:00:00,2018-01-31 23:29:21
ba3e82857e13ba647e843f5a4ade76c1,ebcb12dc163784a4dad2cddb8feb64aa,4,,,2018-06-26 00:00:00,2018-06-26 19:47:07
57e994485c2ebd293e4fa9cd62e5bb96,201691efe89d4d71f36e5ea279a8759a,3,,"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister.",2018-03-14 00:00:00,2018-03-16 20:26:10
c01eaa86159b994afb4c5eb920993ebc,16e38caa92e342c7780f68832f832d4d,5,,,2018-05-25 00:00:00,2018-05-25 03:45:28
4ab6671319156f978e972e2ac2c48ad8,897fab0704eda65c69520010b02a3fee,4,,,2018-05-19 00:00:00,2018-05-21 12:29:51
f5eb912253261b8bb2dc5b1a1f4e2f0e,dccf99a9f12d7217cd20878c985d55ac,4,,,2017-12-19 00:00:00,2017-12-20 02:19:54
5442f4e36faa9fd2ed031c645a9d9acf,043f43899c67438005004d160d18f55c,5,,,2018-06-20 00:00:00,2018-06-22 21:53:48
b543affbc59262ffd186c14471b19293,604d751f2a7e1dbdc206eec36e4bcb81,5,,,2017-11-25 00:00:00,2017-11-25 18:16:18
91283389ca8846dd242990c799a85f5e,b70e6b353379423761497f0d95376da2,5,,super recomendo o produto que é muito bom!,2017-08-17 00:00:00,2017-11-05 15:18:55
35fabb1fcea11c86ba6dbe8280d8d0de,31c2a4ddeb6a9db03922009a2dfcb254,3,,,2017-11-04 00:00:00,2017-11-05 01:28:10
fa82e03e20dd362ebe83572fc81398c7,52ef81c49a349b1162a7bd4a8c2034e4,4,,Gostei ,2017-05-03 00:00:00,2017-05-04 11:50:29
7e6becdbaed9bd20e60602d1f8c2b4f9,acf6e912a8db79e50ddd2fe14628e89c,1,,,2018-08-15 00:00:00,2018-08-15 21:08:00
6d5cbd66b8b52a035e44276fdda28797,60ddc3cf31819e316702f9ede42e26c7,5,,"entrega rápida, produto conforme esperado",2017-04-20 00:00:00,2017-04-21 10:54:36
0e5149ccee3f7414ba4d17c13f051259,fc9a5afd96050ceb0d9f12a4f8c5d9f0,1,,,2018-08-10 00:00:00,2018-08-12 21:45:01
77ac6288ca3e09284cb264d6b0b4d7a2,0ad0006728103ff08cda112f7940bcd1,5,,só poderia entregar mais rápido fim de ano ,2017-12-29 00:00:00,2017-12-29 22:23:00
63f31d7ca2f26a15d6dc7acae2effaaf,e4dd475ba157a8f4d4dd4f0b8e7c92b3,4,,,2017-09-19 00:00:00,2017-09-20 13:23:03
94d950a41403f4a115ab713488ddb3cd,dcd9b00fff62919c208f9e424f8b2c13,5,,"Produto perfeito, chegou antes do prazo!",2018-01-30 00:00:00,2018-02-01 21:40:37
a825b4cf675d670ee0b914688f751e0e,55e5ec213742bae19f2e36685d3aa5e9,5,,,2018-03-04 00:00:00,2018-03-05 00:52:31
560effdc2aaba0ed5d37ed8a98cc6af2,3ef6bcdda6193f8657168ba7e8b3e948,1,,"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja! ",2017-12-07 00:00:00,2017-12-11 23:48:29
e384c4fe94ea5a6f3663cee2481e29b8,ee0a25ec12376692fee5a7d0613f466e,3,,,2017-05-30 00:00:00,2017-05-31 00:59:12
30f2619843ddd4a19bbcb306669d2bf0,5bb8d2fbca419676d395687e28f5263b,5,Muito Bom,Só imaginei que fosse maior a boneca. Mais é legal ,2018-07-24 00:00:00,2018-07-26 22:37:06
4d59d6249215713bfda42353af53f255,4ab8b7a8e23908984157974ae4ad6436,4,Produto entregue,Produto bom e entregue antes do previsto.,2018-06-02 00:00:00,2018-06-04 19:53:33
e417e6865995952bb2c2369de0c5737b,063de687a6d9389fb6f6934d19d447f8,5,,,2018-07-10 00:00:00,2018-07-13 20:26:39
d1706e7fbde9d6d95f5a3f4f72cfed6b,2b8964f15c12ac5df6946804df101d82,4,,,2018-07-12 00:00:00,2018-07-19 11:23:11
3beac5d450c96b321a8e8b71394ececb,e58ed0440e44bc5b5e5cba33106e3f66,5,,Produto chegou rapidamente e conforme o anunciado.,2018-01-11 00:00:00,2018-01-12 20:51:06
1b0193dec8f270afea83302dc238f7e6,b26281af4e5c3a50b10887f626ee883f,1,Entrega Parcial.,Efetuei a compra e pagamento de duas unidades e recebi apenas uma unidade. Aguardando tratativa.,2018-05-05 00:00:00,2018-05-08 11:19:49
48453a13017656bf867e2c2ff88672d8,e6be529ac8d87744b406d4e03a8fe2be,5,,,2018-04-05 00:00:00,2018-04-05 20:50:50
b7d03880a3ed8bf093567e511703378d,f01954cab76ef5d938d291d2f1d201e5,1,,"Não foi entregue, a primeira vez que acontece isso.",2017-05-18 00:00:00,2017-05-18 23:27:28
2dd17197d2b15c3bd0163a718705844f,6eeedb3e16d8072305be02562c253602,5,,,2017-04-10 00:00:00,2017-04-10 22:44:12
4c0f1bafc8726f10261a3858445102c0,df14bdc601f10bff4d2757a9710be81f,5,,,2018-05-15 00:00:00,2018-05-15 20:29:46
6aabdfa02c0f8e0fe882c312863a3be5,cc378c27f87ead12f2c154eb5fde22d2,3,,,2017-08-10 00:00:00,2017-08-13 03:10:43
acedfbfb8b4d555c64ac50f469a077b1,8b2a3c0228399148a783f5ed8c1ce83b,5,,Parabéns ,2018-01-31 00:00:00,2018-01-31 22:25:03
dda0c4b086e775233a80b0e3c119e8db,a6891e28ce17d3ec9391ae48c5a321d1,5,,,2017-09-07 00:00:00,2017-09-08 17:19:25
af38d42b6d29ac203b6dff3e1cc7bd68,a8aa2cd070eeac7e4368cae3d8222e2b,5,,,2017-05-17 00:00:00,2017-05-18 12:23:21
c05541493df4a00ecf66076ce9607aab,7c1336779536fdd545a35df012e0ed5e,5,muito bom,,2018-07-24 00:00:00,2018-07-25 16:07:16
b8a2743d253ba5187a567d4434c84399,7729bd24067381622a58a0231d77fe2d,3,,"Motor ótimo, só não vem as cremalheiras junto!",2017-04-05 00:00:00,2017-04-06 11:41:11
ac041a317017c894baf0ee835d3c3644,e7d112a19f81eb693360bd433f03625f,5,,,2018-05-24 00:00:00,2018-05-28 13:40:40
2dd58c1795a60f1348580de19585b111,89035fb6f9ed1693ad716ef81c18cdb2,4,,legal. tudo certo. entrega rapida,2017-10-14 00:00:00,2017-10-17 15:54:46
