seller_id,seller_zip_code_prefix,seller_city,seller_state
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG
116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP
430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP
d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP
d3674f271c91f824f82d24d92011f669,72233,brasilia,DF
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC
41e0fa5761c886a630994a55c12087e7,11446,guaruja,SP
0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ
c013e57c075a06e5b5c48ee03c525719,13568,sao carlos,SP
55f7a3319d80f7fdf078b8f03e6725fe,6056,osasco,SP
b7e1750c1157341d2abd0251e07c186b,5741,sao paulo,SP
b90e891671cffd9557f33a97dc523645,83010,sao jose dos pinhais,PR
a416b6a846a11724393025641d4edd5e,3702,sao paulo,SP
7e93a43ef30c4f03f38b393420bc753a,6429,barueri,SP
ef506c96320abeedfb894c34db06f478,3569,sao paulo,SP
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG
b2479f944e1b90cf8a5de1bbfde284d6,14940,ibitinga,SP
7722b1df1b0e383e000397b2c11e3e19,9715,sao bernardo do campo,SP
411f3b52d857390502ee4e4d5ceabc2d,9400,ribeirao pires,SP
4e7c18b98d84e05cbae3ff0ff03846c2,14882,jaboticabal,SP
b56906f7fd1696e043f1bcce164c487b,19830,echapora,SP
d650b663c3b5f6fb392b6326366efa9a,6713,cotia,SP
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
abe42c5d03695b4257b5c6cbf4e6784e,21235,rio de janeiro,RJ
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
512d298ac2a96d1931b6bd30aa21f61d,20060,rio de janeiro,RJ
8bb48dc19fccaa8613b6229bf7f452a2,19803,assis,SP
62760d278921b5f352461620d68a9cee,13320,salto,SP
eb72802c83dc7547529c9546d1a9b8ef,13504,rio claro,SP
1d4587203296c8f4ad134dc286fa6db0,5101,sao paulo,SP
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
37be5a7c751166fbc5f8ccba4119e043,4248,sao paulo,SP
44073f8b7e41514de3b7815dd0237f4f,71070,brasilia,DF
7b07b3c7487f0ea825fc6df75abd658b,2016,sao paulo,SP
0ad80de75c811326389cfb1daba7d45e,20261,rio de janeiro,RJ
82e0a475a88cc9595229d8029273f045,3417,sao paulo,SP
75a4764c108403a7a0575140cb22287c,95072,caxias do sul,RS
4c498c7345e89aebad651544829beca0,6341,carapicuiba,SP
f021c962aaba8ef6eb527a9c2c8394d1,88301,itajai,SC
02f5837340d7eb4f653d676c7256523a,80620,curitiba,PR
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
95ec4458365c4d11f452ccf538377619,13481,limeira,SP
fa40cc5b934574b62717c68f3d678b6d,2310,sao paulo,SP
aaed1309374718fdd995ee4c58c9dfcd,89120,timbo,SC
11d4c477d09821164bca4f70a2eae031,14075,ribeirao preto,SP
d1c7fa84e48cfa21a0e595167c1c500e,99730,jacutinga,RS
5abb8ea023c77787f2c15da891c8d384,89228,joinville,SC
