order_id,payment_sequential,payment_type,payment_installments,payment_value
243312dbb316253ab77bb0140d94803c,1,credit_card,10,285.79
1d92d2ce1ae2e0510b5ce50c5be578c6,1,credit_card,2,110.03
76b8568803f110a59ece4167463a4a7e,1,debit_card,1,76.39
7250e10eca3d7f71a091ac5752d3228f,1,credit_card,1,221.96
838411338443a817cfb4c26f0f7a9c9a,1,boleto,1,63.7
e8f9288c671277ab525571871aef27cd,1,credit_card,3,36.0
61792c6272346d7f4b7c5b1747df7b1a,1,credit_card,4,49.34
65bbd0719855fe808bb19f62dfa9f42c,1,credit_card,1,354.64
92f4f749aa508d58dee50d9ccdb6c9dd,1,credit_card,3,62.31
141d3bf5aa7128f40bf2a60cef620b93,1,credit_card,3,159.03
64e64a4dd77d71d6bc307f24af1e55ac,1,credit_card,1,22.29
c283d7942d2bbca2c27a9c15ee2a390e,1,credit_card,1,206.76
347610961383f5990e1d0ce3fd0afa5a,1,credit_card,6,314.3
f75517cfb973c21eab8559a870263794,1,credit_card,10,231.27
9bb824ec73ee38dbbc585f3bba4b34ac,1,credit_card,1,171.53
5600c1fabd9c27cf4dc4a3aaf57a8e29,1,credit_card,2,58.16
8effe67a72c715f926a6dc1a616a5ea9,1,credit_card,3,33.51
56430e0b9968b381942760e433583b27,1,debit_card,1,33.1
4e27ad7f1a6821ceddc8442eb1875014,1,credit_card,1,69.67
8ef3801f58da6b652a3082e1fa5b6589,1,credit_card,2,129.15
66c8dae0eb958ee945dc71efd0a99659,1,credit_card,1,49.09
5662e7f8bbc6abe55e104ac06994a731,1,credit_card,3,57.69
e417eb578007d00c0b658bc321e625fb,1,credit_card,6,111.02
03da04c1427d7b8bff38d76efca1029d,1,boleto,1,216.74
7be91eab3dac2edd89fc7f519e1649f5,1,credit_card,1,133.62
253c8653b64a17c18b729399e14c42cb,1,credit_card,3,595.3
41d5636cfaa3b8436beab84388cf73d0,1,credit_card,1,171.69
6a78b3062a561085f98b76a5a0eea516,1,credit_card,4,92.62
3f6484ca65eed5c701aa5e348623537f,1,boleto,1,157.78
bb953a084ab406da9e19dfdc06df0245,1,credit_card,1,65.34
8e084e8efad16f27d7f26e71af985ce2,1,credit_card,8,181.4
b18478bbf9b2283e3d12452f69fd9ce2,2,credit_card,1,79.92
d00e79f339bb76a1b6dbcc8cb41934e7,1,credit_card,10,113.44
6a978028a892efba783a6f3be848c512,1,credit_card,1,154.72
2c6e3395e4f4716fc4d23742912ff80d,1,credit_card,8,504.35
d181dfce5d8355bc51c2370c6910d4bc,1,credit_card,10,497.62
06b2c7035561ef12b16045ef4bf459e2,1,credit_card,6,68.02
1516bc58e1b5b8020aa6595d2e27e858,1,credit_card,1,506.17
09fd9b0402ed675bbd1ee1e81171ac7c,2,voucher,1,43.98
